title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0714397,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,1 application,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0712200,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0712214,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0711165,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 17 Sep 2023,Closing on 17 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0709607,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 16 Sep 2023,Closing on 16 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0709616,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 16 Sep 2023,Closing on 16 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
HIRING: Financial Advisors,ORIZAL PTE. LTD.,MCF-2023-0617819,"People-first advisory services begin with strong relationships, care and support, and not numbers on a spreadsheet. Relationships from the heart, solutions you can trust. We believe that financial solutions begin not on a sheet of paper, but from putting people first and foremost, before everything else. Discover the Orizal difference now.","CLAYMORE PLAZA, 6 CLAYMORE HILL 229571",Full Time,Fresh/entry level,,"Banking and Finance, Customer Service, Insurance, Sales / Retail",1,"['$3,000to$10,000']",Monthly,1 application,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Orizal is a group of financial advisors representing a suite of different financial services providers, enabling us to provide solutions; not products that adequately cover our clients’ specific needs at every stage in life.
We are looking for a Financial Advisor with a strong heart and desire to serve, to join our ambitious goal to deliver people-first financial solutions to our clients.

Orizal was founded by 2 industry veterans in the financial advisory industry in 2019, bringing together over a combined 30 years of experience at the onset. To date, 22 advisors - from new advisors to seasoned industry practitioners - have joined us from all walks of life because of our insistent approach to guide them at every step of their career.

At Orizal, we constantly put the spotlight on people, not the numbers.
That means we don’t want you to push products; but rather, provide adaptive solutions to each individual client that you get to meet, so as to build a fulfilling, rewarding and sustainable career that is a lifelong experience.
We are a young company, but already with a proven track record - our advisors have won multiple awards (like the much coveted ApfinSa and Million Dollar Round Table [MDRT]) consecutively since joining Orizal.

We’re confident that you can be next up there, receiving those awards.
We know that the hearsay is that financial advisory sounds like a “pushy” job, that “it’s hard to succeed”, and that “it’s a tough business”.

That’s because it is - if you don’t have the right environment to grow, and the right partners to help you grow. That’s Orizal.
We are actively recruiting people who are self-motivated and keen to build your own business, earning based on your hard work. If you are someone who is self-motivated, enjoys working in a collaborative team environment and keen to do meaningful work to help people, we want you!

What role(s) can I expect to handle?
Orizal offers you flexible options to grow your career right from the start. We let you choose the path that you want to take in your career, and we focus our efforts in helping you get there.
Want to eventually have and grow your own team? Our management path helps you to develop and hone your leadership skills
Want to just do financial advisory? We’ll place all our efforts to help you sharpen your advisory abilities, and give you ample directions to thrive
Something else? Our team is always open to new suggestions to grow together
What sets us apart?
We’re serious when we say that we aggressively invest in our people. Our own marketing efforts feature each and every one of our advisors, and put the focus on their individual stories / branding, which is a novel first in Singapore.

Our marketing and branding efforts to promote you

Day in the life of a financial advisor series: bit.ly/3Mcjxfw
Our social media efforts that focus on our people (not products): bit.ly/3zruq5t

Proven systems and mentorship
We leverage our industry knowledge and experience (over 30 years worth) to shortcut what works and throw out what doesn’t. Right from the get go, we offer intensive guidance and mentorship with our own in-house methodologies that:
Show you how to generate referrals and sales in a non-salesy way
Show you how to adequately serve a client to completely cover them in the event of any unfortunately life events
Show you the path to create not just a solid career, but a holistic life experience that balances work, life, family and everything in between.
What support will you get?
If you are new to financial advisory
We’ll take care of all your onboarding expenses (like licensing as a Certified Financial Planner)
We’ll provide patient, one-on-one training on every aspect of financial advisory to guide you from start to seasoned veteran
We’ll help you to avoid potential pitfalls in the industry to speed up your success in the field
If you are already familiar with the industry
We’ll work with you to uncover obstacles standing in your way
We’ll provide you with dedicated administrative support to handle enquiries, cases, and everything else
We’ll share our own experience and knowledge to help you go further
And much, much more.
The Orizal family culture
At Orizal, we believe life doesn’t start and end with work. Work puts food on the table, but what we do after counts, equally.

Whether you’re a dedicated mother, aunt, traveler, husband or wife with commitments besides work, we’re all in to help make your schedule work.

In short, you get complete control and freedom to plan how, where and when you work.
And when you’re ready, the Orizal family is always there. With a strong focus on unity and togetherness, we’re building a familial environment situated at the heart of work.

Requirements
Age 21 and above (regulatory requirement)
Minimum diploma & GCE 'A' levels
Candidates without experience are more than welcome to apply
Connect with Orizal
Whether you are a recent graduate with an entrepreneurial side to you, looking for a mid-career switch in your career out of the boring 9-5, or just keen to learn more about the work we do at Orizal, we have something for you.
Apply now to start a conversation with our team, and learn how you can be a part of our success together
Job Type: Full-time
Benefits:
Leave benefits
Flexible working schedule - work at your own pace
Work from home, with town head office as an option should you choose
And much, much more
Schedule:
Flexible hours
Supplemental pay possibilities:
Commission pay
Performance bonus
Retention bonus
Signing bonus
Yearly bonus"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0705665,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0705664,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0703182,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0703164,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0699112,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 13 Sep 2023,Closing on 13 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
"Financial Planner / Advisor (Basic Pay is given / Insurance / Up to $5,000)",GOOD JOB CREATIONS (SINGAPORE) PTE. LTD.,MCF-2023-0693326,"GOOD JOB CREATIONS (SINGAPORE) PTE. LTD. provides total HR solutions with core values of customer focus, teamwork, professionalism and contribution to the society and our clients. Our vision is to create opportunities for Asian talents in Singapore and across the region. For more information, visit us at www.goodjobcreations.com.sg",,Full Time,Fresh/entry level,,Banking and Finance,1,"['$2,500to$5,000']",Monthly,1 application,Posted 11 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
[Order No: 2301-64213]

Responsibilities
• Provide holistic financial advisory services to new and existing clients
• Deliver high standards of service and professional financial advice
• Recommend financial planning strategies to clients to achieve their financial goals and objectives.
• Build and maintain positive relationship with clients and prospective clients
• Achieve sales- related objectives and key results
• Ensure that all sales activities are conducted with the highest standards and quality. Ensure compliance with both internal and external regulatory requirements

Requirements
• Diploma / Degree in any discipline from a recognised institution.
• Good knowledge of financial planning and insurance industry
• Passion for financial advisory and a client-centric attitude
• Have a growth mindset and self-motivated to overachieve

We regret that only shortlisted candidates will be notified.
However, rest assured that all applications will be updated to our resume bank for future opportunities.
EA Personnel Name: Tan Gabriel
EA Personnel Reg. No.: R22104076
EA Licence No.: 07C5771"
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0692060,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 11 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
