job_post_id,title,address,department,salary_range,company_profile,description,requirement,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,min_experience,company,industry,salary_type
MCF-2023-03031,HR Business Partner,"8 Shenton Way, #43-01, AXA Tower, Singapore 068811",Human Resources,13000-15000,HR Excellence Group is an HR consultancy firm providing strategic HR solutions. We are seeking an HR Business Partner to lead HR initiatives for our clients.,HR Excellence Group is looking for an HR Business Partner to work closely with clients. You will develop and implement HR strategies that drive organizational success.,HR certification preferred,Comprehensive benefits package,0,0,0,Full-time,Director,8,HR Excellence Group,Human Resources,Monthly
MCF-2023-03032,Event Coordinator,"1 Paya Lebar Link, PLQ Mall, Singapore 408533",Event Management,4000-5000,EventMagic Co. specializes in creating memorable events. Join us as an Event Coordinator and be part of planning extraordinary events.,EventMagic Co. is seeking an Event Coordinator to plan and execute memorable events. Your attention to detail and creativity will contribute to unforgettable experiences.,Event planning experience is a plus,Team-building events,1,0,0,Full-time,Senior Level,2,EventMagic Co.,Event Management,Monthly
MCF-2023-03033,Machine Learning Researcher,"10 Bayfront Avenue, Marina Bay Sands, Singapore 018956",Machine Learning,18000-22000,AIInnovations Lab is focused on machine learning and AI research. Join our team as a Machine Learning Researcher to work on innovative AI projects.,AIInnovations Lab is focused on cutting-edge AI research. Join us as a Machine Learning Researcher to work on AI projects that push the boundaries of technology.,Ph.D. in machine learning or related field,Research opportunities,0,1,0,Full-time,Entry Level,0,AIInnovations Lab,Artificial Intelligence,Monthly
MCF-2023-03034,Social Media Manager,"30 Hill Street, #05-04, Singapore 179360",Social Media,10000-13000,SocialConnect Media is a media agency specializing in social media strategies. We are hiring a Social Media Manager to lead our social media efforts.,SocialConnect Media is hiring a Social Media Manager to oversee social media campaigns. You will develop creative content and engage with online communities.,Social media management experience,Social media advertising budget,1,1,1,Full-time,Director,6,SocialConnect Media,Media,Monthly
MCF-2023-03035,IT Director,"68 Circular Road, #02-01, Singapore 049422",Information Technology,20000-25000,ITInnovate Solutions is an IT services provider. Join us as an IT Director to oversee our IT operations and drive technological excellence.,ITInnovate Solutions is in search of an IT Director to lead our IT department. You will shape our IT strategy and ensure the stability of our technology infrastructure.,IT leadership experience required,Executive-level benefits,1,1,1,Full-time,Director,0,ITInnovate Solutions,Information Technology,Monthly
MCF-2023-03036,Executive Chef,"3 Sentosa Gateway, The Forum, Singapore 098140",Culinary,15000-18000,CulinaryDelights is a renowned restaurant known for its culinary creativity. We are seeking an Executive Chef to lead our culinary team and create exquisite dishes.,CulinaryDelights is looking for an Executive Chef to lead our culinary team. Your culinary creativity will delight diners and elevate our dining experience.,Culinary degree and extensive experience,Gourmet meals provided,0,0,0,Full-time,Director,5,CulinaryDelights,Culinary,Monthly
MCF-2023-03037,Investment Analyst,"12 Marina View, Asia Square Tower 2, Singapore 018961",Investment,8000-10000,InvestPro Advisory is a financial advisory firm specializing in investment strategies. Join us as an Investment Analyst to provide expert investment guidance.,InvestPro Advisory is seeking an Investment Analyst to provide investment guidance. Your financial expertise will help clients achieve their investment goals.,Financial analysis skills,Performance-based incentives,0,1,0,Full-time,Entry Level,2,InvestPro Advisory,Financial Services,Monthly
MCF-2023-03038,Psychiatrist,"5 Straits View, Marina One, Singapore 018935",Healthcare,22000-25000,MindCare Psychiatry Clinic provides mental health services. Join us as a Psychiatrist to support individuals in their mental well-being journey.,MindCare Psychiatry Clinic provides mental health services. Join us as a Psychiatrist to provide compassionate care and support to individuals with mental health needs.,Medical degree and license,Mental health support,1,0,0,Full-time,Senior Level,8,MindCare Psychiatry Clinic,Healthcare,Monthly
MCF-2023-03039,Data Scientist (Full-Time),"20 Collyer Quay, #18-01, Tung Centre, Singapore 049319",Data Science,12000-15000,DataTech Solutions is a data science company working on cutting-edge projects. Join us as a Data Scientist (Full-Time) to analyze data and extract insights.,DataTech Solutions is hiring a Data Scientist (Full-Time) to analyze data and extract valuable insights. Your work will contribute to data-driven decision-making.,Strong data analysis skills,Career growth opportunities,1,0,0,Full-time,Entry Level,9,DataTech Solutions,Data Science,Monthly
MCF-2023-03040,Marketing Specialist,"138 Robinson Road, #28-01, Oxley Tower, Singapore 068906",Marketing,16000-20000,MarketBoosters Ltd. is a marketing agency known for driving marketing success. We are seeking a Marketing Specialist to implement innovative marketing strategies.,MarketBoosters Ltd. is in search of a Marketing Specialist to implement marketing strategies. You will drive brand awareness and engage target audiences.,Marketing experience required,Marketing resources and tools,0,1,0,Full-time,Director,8,MarketBoosters Ltd.,Marketing,Monthly
101,Senior Software Engineer,"1 Raffles Place, Singapore",Engineering,"100,000 - 120,000","TechSolutions is a leading technology company, driving innovation in software development. We offer a dynamic and collaborative work environment focused on excellence.","TechSolutions is looking for a Senior Software Engineer to join our engineering team. You will design and develop cutting-edge software solutions, collaborate with cross-functional teams, and drive innovation in software development. If you're passionate about technology and want to work on exciting projects, join us.","Requirements: 
- Bachelor's degree in Computer Science or related field
- 5+ years of software development experience
- Proficiency in Python and JavaScript
- Strong problem-solving skills","Benefits: 
- Competitive salary
- Health and dental insurance
- Flexible working hours
- Career development opportunities",1,1,1,Full-Time,5+ Years,3+ Years,TechSolutions,Technology,Annual
102,Marketing Manager,"15A Orchard Road, Singapore",Marketing,"90,000 - 110,000",DigitalRevolution Marketing is a fast-growing marketing agency specializing in digital campaigns. Join us and be part of the digital marketing evolution.,"DigitalRevolution Marketing is seeking a Marketing Manager to lead our marketing efforts. You will develop and execute digital marketing strategies, manage campaigns, and drive brand growth. Join our dynamic team and be part of the digital marketing revolution.","Requirements: 
- Bachelor's degree in Marketing or related field
- 7+ years of marketing experience
- Proven track record in digital marketing
- Excellent communication skills","Benefits: 
- Competitive salary with performance bonuses
- Health and wellness programs
- Collaborative and creative work environment
- Career growth prospects",0,1,1,Full-Time,7+ Years,5+ Years,DigitalRevolution Marketing,Marketing,Annual
103,Project Manager (Contract),"6 Shenton Way, Singapore",Project Management,Contract-based,"ProjectMasters Ltd. is a project management consultancy, providing top-notch project management solutions. We are currently seeking a Project Manager on a contract basis.","ProjectMasters Ltd. is hiring a Project Manager on a contract basis to oversee project execution. You will plan, execute, and close projects, ensuring they are completed on time and within scope. If you have strong project management skills and can work on a contract basis, we want you on our team.","Requirements: 
- Bachelor's degree
- PMP certification is a plus
- 5+ years of project management experience
- Strong organizational and leadership skills","Benefits: 
- Competitive contract-based compensation
- Opportunity to work on diverse projects
- Gain valuable project management experience",0,1,0,Contract,5+ Years,3+ Years,ProjectMasters Ltd.,Project Management,Contract
104,Chief Financial Officer,"8 Marina Boulevard, Singapore",Finance,"150,000 - 180,000",FinanceLeaders Inc. is a financial advisory firm dedicated to helping businesses thrive. Join us as our Chief Financial Officer and lead our financial strategies.,"FinanceLeaders Inc. is in search of a Chief Financial Officer (CFO) to lead our financial operations. As CFO, you will oversee financial planning, budgeting, and financial strategy. Join us if you have extensive financial leadership experience and want to play a pivotal role in our company's success.","Requirements: 
- Bachelor's degree in Finance or related field
- CPA or CFA certification
- 10+ years of finance leadership experience
- Strategic financial planning expertise","Benefits: 
- Competitive salary and performance-based bonuses
- Health and retirement benefits
- Leadership role in a reputable company
- Opportunity to shape financial strategies",0,1,1,Full-Time,10+ Years,8+ Years,FinanceLeaders Inc.,Finance,Annual
105,Data Scientist,"10 Anson Road, Singapore",Data Science,"110,000 - 130,000","DataInnovators Co. is a data science powerhouse, exploring data for insights and solutions. We're looking for a Data Scientist to join our team.","DataInnovators Co. is looking for a Data Scientist to join our data team. You will analyze large datasets, develop machine learning models, and extract valuable insights. If you're passionate about data and analytics, join us and contribute to groundbreaking projects.","Requirements: 
- Master's degree in Data Science or related field
- 3+ years of data science experience
- Proficiency in machine learning and data analysis tools
- Strong analytical skills","Benefits: 
- Competitive salary package
- Health and wellness programs
- Opportunity to work on cutting-edge data projects
- Career advancement opportunities",1,1,1,Full-Time,3+ Years,2+ Years,DataInnovators Co.,Data Science,Annual
106,Art Director,"25 Havelock Road, Singapore",Creative,"80,000 - 100,000",CreativeVisions is a creative agency known for its artistic brilliance. We need an Art Director to inspire our creative team and shape artistic visions.,"CreativeVisions is seeking an Art Director to lead our creative team. You will conceptualize and execute creative projects, mentor team members, and ensure artistic excellence. Join us and make your mark in the world of creativity.","Requirements: 
- Bachelor's degree in Fine Arts or related field
- Proven experience as an Art Director
- Creative portfolio showcasing artistic projects
- Leadership and collaboration skills","Benefits: 
- Competitive salary
- Creative and inspiring work environment
- Opportunities for skill development
- Artistic recognition",0,1,1,Full-Time,5+ Years,3+ Years,CreativeVisions,Creative,Annual
107,Legal Counsel,"3 Temasek Avenue, Singapore",Legal,"130,000 - 150,000",LegalExperts Ltd. is a law firm serving diverse clients. We require a Legal Counsel to provide expert legal advice and representation.,"LegalExperts Ltd. requires a Legal Counsel to provide expert legal guidance to our clients. You will handle a diverse range of legal matters, offer strategic advice, and represent clients in legal proceedings. If you're a skilled legal professional, join our team.","Requirements: 
- Bachelor's degree in Law
- Singapore Bar qualification
- 5+ years of legal practice
- Strong legal research and analysis skills","Benefits: 
- Competitive salary
- Professional development opportunities
- Challenging and diverse legal cases
- Collaborative legal team",0,1,1,Full-Time,5+ Years,3+ Years,LegalExperts Ltd.,Legal,Annual
108,Senior UX/UI Designer,"18 Robinson Road, Singapore",Design,"100,000 - 120,000",DesignGeniuses Co. is a design studio passionate about user experiences. Join us as a Senior UX/UI Designer and craft exceptional designs.,"DesignGeniuses Co. is hiring a Senior UX/UI Designer to create exceptional user experiences. You will work on diverse design projects, collaborate with cross-functional teams, and shape design strategies. Join us and design the future of user interfaces.","Requirements: 
- Bachelor's degree in Design or related field
- Proven experience as a UX/UI Designer
- Proficiency in design software
- Strong design portfolio","Benefits: 
- Competitive salary
- Inspiring design projects
- Opportunity to shape user experiences
- Creative freedom",0,1,1,Full-Time,5+ Years,3+ Years,DesignGeniuses Co.,Design,Annual
109,Product Manager,"30 Cecil Street, Singapore",Product Management,"120,000 - 140,000",ProductInnovate Inc. specializes in product development. We're hiring a Product Manager to drive product excellence and innovation.,"ProductInnovate Inc. is seeking a Product Manager to lead our product development efforts. You will define product roadmaps, collaborate with engineering teams, and drive product innovation. Join us if you're passionate about building outstanding products.","Requirements: 
- Bachelor's degree in Business or related field
- 5+ years of product management experience
- Product development expertise
- Strong leadership skills","Benefits: 
- Competitive salary
- Chance to lead innovative product development
- Collaborative and dynamic work culture
- Professional growth",0,1,1,Full-Time,5+ Years,3+ Years,ProductInnovate Inc.,Product Management,Annual
110,Content Writer (Part-Time),"12 Marina View, Singapore",Content,"25,000 - 30,000 (Part-Time)","ContentWriters Ltd. is a content agency seeking a part-time Content Writer. If you have a passion for writing, join us and create engaging content.","ContentWriters Ltd. is looking for a talented Content Writer to create engaging content for our clients. This is a part-time role, ideal for writers looking for flexibility. Join us and unleash your creativity through writing.","Requirements: 
- Bachelor's degree in English, Journalism, or related field
- Proven experience in content writing
- Exceptional writing and editing skills","Benefits: 
- Competitive part-time compensation
- Flexibility in work hours
- Opportunity to showcase writing skills
- Work-life balance",0,1,0,Part-Time,N/A,N/A,ContentWriters Ltd.,Content,Part-Time
111,Director of Sales,"7 Straits View, Singapore",Sales,"140,000 - 160,000",SalesPro Ltd. is a sales-driven company aiming for excellence. Join us as Director of Sales and lead our dynamic sales team to success.,"SalesPro Ltd. needs a Director of Sales to lead our sales team. You will develop sales strategies, mentor sales representatives, and drive revenue growth. Join our dynamic company and lead us to sales success.","Requirements: 
- Bachelor's degree in Business or related field
- 10+ years of sales leadership experience
- Proven track record in B2B sales
- Strategic sales planning skills","Benefits: 
- Competitive salary with performance-based incentives
- Sales leadership role
- Collaborative sales team
- Career advancement opportunities",0,1,1,Full-Time,10+ Years,8+ Years,SalesPro Ltd.,Sales,Annual
112,Clinical Research Scientist,"14 Science Park Drive, Singapore",Research,"120,000 - 140,000",HealthCare Research Innovations is dedicated to advancing healthcare through research. We need a Clinical Research Scientist to drive our research initiatives.,"HealthCare Research Innovations is dedicated to advancing healthcare through research. We need a Clinical Research Scientist to lead research initiatives, conduct studies, and contribute to medical advancements. If you have a background in healthcare research, join us.","Requirements: 
- PhD in Healthcare or related field
- 5+ years of clinical research experience
- Strong research and publication record
- Clinical trial expertise","Benefits: 
- Competitive salary
- Opportunity to contribute to healthcare advancements
- Research-focused environment
- Professional development",0,1,1,Full-Time,5+ Years,3+ Years,HealthCare Research Innovations,Healthcare,Annual
113,Restaurant Chef,"45 Club Street, Singapore",Culinary,"60,000 - 80,000",RestaurantDelights is a culinary haven. We're hiring a Restaurant Chef to bring culinary excellence to our restaurant.,"RestaurantDelights is looking for a talented Restaurant Chef to lead our culinary team. You will create exquisite dishes, manage kitchen operations, and uphold culinary excellence. Join our restaurant and delight customers with your culinary creations.","Requirements: 
- Culinary degree or equivalent
- Proven experience as a Chef
- Creativity in culinary arts
- Strong leadership skills","Benefits: 
- Competitive salary
- Culinary creativity
- Leadership role in a renowned restaurant
- Opportunity for culinary innovation",0,1,0,Full-Time,5+ Years,3+ Years,RestaurantDelights,Culinary,Annual
114,Investment Strategist,"20 Collyer Quay, Singapore",Finance,"160,000 - 180,000",InvestmentMasters Inc. is a finance powerhouse. Join us as an Investment Strategist and make strategic financial decisions.,"InvestmentMasters Inc. is hiring an Investment Strategist to make strategic financial decisions. You will analyze investment opportunities, manage portfolios, and optimize returns. If you have a strong financial background, join us and shape investment strategies.","Requirements: 
- Master's degree in Finance or related field
- CFA or equivalent certification
- 8+ years of investment analysis experience
- Financial modeling expertise","Benefits: 
- Competitive salary and performance bonuses
- Opportunity to shape investment strategies
- Financial analysis projects
- Career growth prospects",0,1,1,Full-Time,8+ Years,5+ Years,InvestmentMasters Inc.,Finance,Annual
115,HR Director,"2 Hume Avenue, Singapore",Human Resources,"140,000 - 160,000",HRLeaders Plus Ltd. is committed to HR excellence. We're seeking an HR Director to lead HR initiatives and foster a positive work environment.,"HRLeaders Plus Ltd. is committed to HR excellence. We're seeking an HR Director to lead HR initiatives, foster a positive work environment, and develop HR strategies. Join us and make a difference in HR management.","Requirements: 
- Master's degree in HR or related field
- 10+ years of HR leadership experience
- HR strategy development skills
- Employee engagement expertise","Benefits: 
- Competitive salary
- HR leadership role
- Positive work environment
- Employee engagement initiatives",0,1,1,Full-Time,10+ Years,8+ Years,HRLeaders Plus Ltd.,Human Resources,Annual
116,Quality Control Specialist,"55 Beach Road, Singapore",Quality Assurance,"70,000 - 90,000",QualityControl Experts is focused on maintaining quality standards. Join us as a Quality Control Specialist and ensure top-quality products.,"QualityControl Experts is focused on maintaining quality standards. Join us as a Quality Control Specialist and ensure top-quality products. You will conduct inspections, implement quality control measures, and drive continuous improvement.","Requirements: 
- Bachelor's degree in Quality Assurance or related field
- 5+ years of quality control experience
- Quality management certification is a plus
- Attention to detail","Benefits: 
- Competitive salary
- Opportunity to maintain quality standards
- Quality-focused projects
- Professional development",0,1,1,Full-Time,5+ Years,3+ Years,QualityControl Experts,Quality Assurance,Annual
117,AI Ethics Researcher,"17 Bukit Timah Road, Singapore",Research,"120,000 - 140,000",AIInnovate Co. is at the forefront of AI research. We need an AI Ethics Researcher to explore ethical dimensions in AI development.,AIInnovate Co. is at the forefront of AI research. We need an AI Ethics Researcher to explore ethical dimensions in AI development. You will research and develop ethical AI guidelines and promote responsible AI practices. Join us and contribute to the ethical advancement of AI.,"Requirements: 
- PhD in Ethics, Philosophy, or related field
- Research experience in AI ethics
- Strong ethics analysis and guidance skills","Benefits: 
- Competitive salary
- Opportunity to work on ethical AI
- Contribution to AI ethics research
- Collaborative AI team",0,1,0,Full-Time,N/A,N/A,AIInnovate Co.,Research,Annual
118,Psychologist,"9 North Bridge Road, Singapore",Healthcare,"100,000 - 120,000",MindCare Psychiatry is dedicated to mental health care. Join us as a Psychologist and make a positive impact on mental well-being.,"MindCare Psychiatry is dedicated to mental health care. Join us as a Psychologist and make a positive impact on mental well-being. You will provide counseling, therapy, and support to individuals seeking mental health services. If you're a compassionate psychologist, we welcome you to our team.","Requirements: 
- Doctorate in Psychology
- Licensed Psychologist in Singapore
- Counseling and therapy experience
- Compassion and empathy","Benefits: 
- Competitive salary
- Impactful role in mental health care
- Rewarding career in psychology
- Opportunities for professional growth",0,1,1,Full-Time,5+ Years,3+ Years,MindCare Psychiatry,Healthcare,Annual
119,Senior Data Analyst,"5 Shenton Way, Singapore",Data Science,"110,000 - 130,000",DataExperts Inc. is a data-driven organization. We're hiring a Senior Data Analyst to analyze data and derive actionable insights.,"DataExperts Inc. is a data-driven organization. We're hiring a Senior Data Analyst to analyze data, generate insights, and drive data-driven decision-making. If you have a passion for data analysis, join us and work on exciting data projects.","Requirements: 
- Bachelor's degree in Statistics, Data Science, or related field
- 7+ years of data analysis experience
- Proficiency in data analysis tools
- Strong statistical skills","Benefits: 
- Competitive salary
- Data-driven projects
- Opportunity to work on exciting data initiatives
- Career development prospects",0,1,1,Full-Time,7+ Years,5+ Years,DataExperts Inc.,Data Science,Annual
120,Nurse (Part-Time),"22 Malacca Street, Singapore",Healthcare,"130,000 - 150,000 (Part-Time)","NursePro Ltd. is looking for a Part-Time Nurse to provide healthcare support. If you're passionate about nursing, join us in part-time capacity.","NursePro Ltd. is looking for a Part-Time Nurse to provide healthcare support. If you're a registered nurse looking for part-time opportunities, join us and contribute to patient care.","Requirements: 
- Registered Nurse in Singapore
- Part-time availability
- Compassion and dedication to patient care","Benefits: 
- Competitive part-time compensation
- Flexible nursing hours
- Contribution to patient well-being
- Work-life balance",0,1,0,Full-Time,N/A,N/A,NursePro Ltd.,Healthcare,Part-Time
MCF-2023-03021,Senior Software Developer,"4 Shenton Way, #15-01 SGX Centre 2, Singapore 068807",Software Development,9000-12000,TechWizards Ltd. is a technology company that specializes in software development. We are dedicated to creating innovative and cutting-edge software solutions. Join our team of developers and be part of our mission to transform technology.,"TechWizards Ltd. is looking for a Senior Software Developer to lead software development projects. You will design and implement complex software solutions, mentor junior developers, and drive technical excellence.",5+ years of software development experience,Competitive salary and bonus,0,1,0,Full-Time,Mid-Senior level,5,TechWizards Ltd.,Information Technology,Monthly
MCF-2023-03022,Marketing Director,"1 Raffles Quay, #50-01 North Tower, Singapore 048583",Marketing,12000-15000,"MegaMarketers Inc. is a leading marketing agency in Singapore, known for delivering exceptional marketing strategies. We are committed to driving business growth through creative and data-driven marketing campaigns. Join our team of marketing experts and be part of our success story.","MegaMarketers Inc. is seeking a Marketing Director to lead our marketing team. You will develop marketing strategies, manage campaigns, and analyze marketing performance. Join us in shaping the marketing landscape.",Proven track record in leading marketing teams,Healthcare and dental coverage,1,0,1,Full-Time,Executive,8,MegaMarketers Inc.,Marketing,Monthly
MCF-2023-03023,Operations Manager,"8 Temasek Boulevard, #42-01 Suntec Tower Three, Singapore 038988",Operations,10000-13000,OperationsPlus Ltd. is an operations management company that excels in optimizing business processes. We are passionate about efficiency and operational excellence. Join our team and help businesses thrive.,"OperationsPlus Ltd. is hiring an Operations Manager to oversee business operations. You will optimize processes, manage resources, and ensure operational efficiency. Join our team and streamline operations.",Strong operations management skills,Flexible work hours,0,1,0,Full-Time,Mid-Senior level,7,OperationsPlus Ltd.,Operations,Monthly
MCF-2023-03024,Full Stack Web Developer,"10 Anson Road, #32-01 International Plaza, Singapore 079903",Software Development,8500-11000,WebSolutions Co. is looking for a Full Stack Web Developer to create dynamic and interactive web applications. Your expertise in both front-end and back-end development will be crucial in building responsive websites.,WebSolutions Co. is looking for a Full Stack Web Developer to work on dynamic web applications. You will collaborate with designers and deliver responsive and user-friendly websites.,"Experience in web development with proficiency in HTML, CSS, and JavaScript",Opportunities for career advancement,0,0,0,Full-Time,Mid-Senior level,4,WebSolutions Co.,Information Technology,Monthly
MCF-2023-03025,Senior Data Analyst,"6 Battery Road, #30-01 Singapore 049909",Data Analysis,9500-12500,DataPioneers Inc. is seeking a Senior Data Analyst to extract valuable insights from data. Your analytical skills will drive data-informed decision-making. Join us in making data work for our clients.,"DataPioneers Inc. is seeking a Senior Data Analyst to analyze large datasets. You will extract insights, create data visualizations, and contribute to data-driven decision-making. Join us and unlock the power of data.",3+ years of data analysis experience,Work in a collaborative and innovative environment,1,1,1,Full-Time,Mid-Senior level,3,DataPioneers Inc.,Data Analysis,Monthly
MCF-2023-03026,Digital Marketing Specialist,"3 Fraser Street, #18-01 DUO Tower, Singapore 189352",Marketing,8000-10000,DigitalEdge Marketing is a digital marketing agency specializing in online strategies. We are on a mission to enhance digital presence and engagement. Join our team of digital marketing specialists and shape the future of online marketing.,"DigitalEdge Marketing is hiring a Digital Marketing Specialist to manage online campaigns. You will create and optimize digital content, analyze digital marketing metrics, and drive online engagement.",Digital marketing expertise with a focus on SEO and SEM,Training and development programs,0,0,1,Full-Time,Mid-Senior level,5,DigitalEdge Marketing,Marketing,Monthly
MCF-2023-03027,IT Project Manager,"1 Paya Lebar Link, #08-01 PLQ 2, Singapore 408533",Project Management,11000-14000,ITProjects Plus Ltd. is a project management firm that specializes in IT projects. We are dedicated to delivering IT solutions on time and within budget. Join our team and lead IT projects to success.,"ITProjects Plus Ltd. is in search of an IT Project Manager to lead IT projects. You will define project scopes, allocate resources, and ensure project success. Join us and lead IT projects to fruition.",Project management certification is a plus,Generous paid time off,1,1,1,Full-Time,Executive,6,ITProjects Plus Ltd.,Information Technology,Monthly
MCF-2023-03028,Graphic Designer,"9 Tampines Grande, #12-02, Singapore 528735",Design,7500-9500,DesignGenius Co. is a design studio that creates visually stunning designs. Your creative designs will captivate audiences and leave a lasting impression. Join our team of designers and make a mark in the design world.,DesignGenius Co. is looking for a Graphic Designer to create visually stunning graphics. You will collaborate with clients and the design team to produce creative designs that resonate with audiences.,Proficiency in Adobe Creative Suite,Creative and dynamic work culture,1,1,0,Full-Time,Mid-Senior level,4,DesignGenius Co.,Design,Monthly
MCF-2023-03029,Product Manager,"15 Beach Road, #03-01 Beach Centre, Singapore 189677",Product Management,13000-16000,ProductMasters Inc. is a product-focused company that thrives on innovation. We believe in developing products that solve real-world problems. Join us as a Product Manager and drive product excellence.,"ProductMasters Inc. is seeking a Product Manager to lead product development. You will define product roadmaps, prioritize features, and ensure products meet market needs. Join us and shape innovative products.",Product management experience,Ownership of product development,0,0,1,Full-Time,Executive,6,ProductMasters Inc.,Product Management,Monthly
MCF-2023-03030,Content Strategist,"30 Cecil Street, #19-08 Prudential Tower, Singapore 049712",Content Strategy,8500-11000,ContentCrafters Ltd. is a content strategy agency that crafts engaging and effective content. Your content strategies will shape brand narratives and connect with audiences. Join our team of content strategists and tell compelling stories.,"ContentCrafters Ltd. is hiring a Content Strategist to develop content plans. You will research industry trends, define content strategies, and drive content creation. Join us and craft compelling narratives.",Content strategy experience,Work on diverse and exciting projects,0,0,1,Full-Time,Mid-Senior level,5,ContentCrafters Ltd.,Content Strategy,Monthly
